CustomerID,SalespersonID,Period,ActualSales,ActualGPP,ActualCalls
C-01,P-01,12/31/2010,88888,34.77,6
C-01,P-01,12/6/2011,176500,36,14
C-01,P-01,12/19/2012,78900,31.22,16
C-01,P-01,12/25/2013,99600,10,18
C-01,P-01,12/3/2014,101300,34,12
C-01,P-01,12/15/2015,55000,29.2,10
C-01,P-01,12/30/2016,35000,28,6
C-01,P-01,12/1/2017,75700,19,8
C-01,P-01,12/1/2018,120000,22,3
C-01,P-01,12/1/2019,201456,25.4,5
C-01,P-01,12/1/2020,55000,28.5,12
C-01,P-01,12/1/2021,90000,22.56,7
C-01,P-01,12/1/2022,125600,24.5,8
C-01,P-01,12/1/2023,146373,25,10
C-01,P-01,12/18/2024,700000,25,1
C-02,P-02,12/31/2010,88888,34.77,6
C-02,P-02,12/6/2011,176500,36,14
C-02,P-02,12/19/2012,78900,31.22,16
C-02,P-02,12/25/2013,96700,10,18
C-02,P-02,12/3/2014,101300,34,12
C-02,P-02,12/15/2015,55000,29.2,10
C-02,P-02,12/30/2016,4500,34,4
C-02,P-02,12/1/2017,3000,35.5,7
C-02,P-02,12/1/2018,5500,36,3
C-02,P-02,12/1/2019,2500,38.9,6
C-02,P-02,12/1/2020,6700,42,1
C-02,P-02,12/1/2021,10000,44.6,1
C-02,P-02,12/1/2022,22500,42.1,1
C-02,P-02,12/1/2023,28267,43.5,1
C-02,P-02,12/18/2024,18900,42,3
C-03,P-03,12/31/2010,88888,34.77,6
C-03,P-03,12/6/2011,176500,36,14
C-03,P-03,12/19/2012,78900,31.22,16
C-03,P-03,12/25/2013,99600,10,18
C-03,P-03,12/3/2014,101300,34,12
C-03,P-03,12/15/2015,55000,29.2,10
C-03,P-03,12/30/2016,145267,22,1
C-03,P-03,12/1/2017,140200,23,12
C-03,P-03,12/1/2018,123400,18.9,12
C-03,P-03,12/1/2019,124600,25.6,12
C-03,P-03,12/1/2020,41000,31.2,12
C-03,P-03,12/1/2021,22560,4,12
C-03,P-03,12/1/2022,31400,25,12
C-03,P-03,12/1/2023,46083,25,12
C-03,P-03,12/15/2024,55000,25,11
C-04,P-04,12/31/2010,88888,34.77,6
C-04,P-04,12/6/2011,176500,36,14
C-04,P-04,12/19/2012,78900,31.22,16
C-04,P-04,12/25/2013,99600,10,18
C-04,P-04,12/3/2014,101300,34,12
C-04,P-04,12/15/2015,55000,29.2,10
C-04,P-04,12/30/2016,24333,67.8,3
C-04,P-04,12/1/2017,19800,69,7
C-04,P-04,12/1/2018,55678,65,8
C-04,P-04,12/1/2019,86400,63.5,6
C-04,P-04,12/1/2020,175600,6,12
C-04,P-04,12/1/2021,201200,59.8,12
C-04,P-04,12/1/2022,221600,55,8
C-04,P-04,12/1/2023,191200,58.9,8
C-04,P-04,12/16/2024,18760,56.8,9
C-05,P-05,12/31/2010,88888,34.77,6
C-05,P-05,12/6/2011,176500,36,14
C-05,P-05,12/19/2012,78900,31.22,16
C-05,P-05,12/25/2013,99600,10,18
C-05,P-05,12/3/2014,101300,34,12
C-05,P-05,12/15/2015,55000,29.2,10
C-05,P-05,12/30/2016,12300,45,4
C-05,P-05,12/1/2017,12600,44,4
C-05,P-05,12/1/2018,16800,4,4
C-05,P-05,12/1/2019,21000,42.5,4
C-05,P-05,12/1/2020,105600,42,4
C-05,P-05,12/1/2021,167800,38.9,4
C-05,P-05,12/1/2022,99800,36,4
C-05,P-05,12/1/2023,90000,4,4
C-05,P-05,12/15/2024,100000,29,6
