Note: Please add Period date in mm/dd/yyyy format only.,,,,,,
CustomerID,SalespersonID,Period,ActualSales,ActualGPP,ActualCalls,
C-01,P-02,05/01/2025,3600,25,1,
C-01,P-02,01/18/2025,8000,26.1,,
C-01,P-02,10/01/2025,,,1,
C-01,P-02,01/22/2025,,,1,
C-01,P-02,05/02/2025,4000,24.5,1,
C-01,P-02,02/24/2025,900,25,1,
C-01,P-02,08/03/2025,500,25,1,
C-01,P-02,03/17/2025,2000,25,,
C-01,P-02,04/14/2025,13540,25,2,
C-01,P-02,04/30/2025,,,,
C-01,P-02,05/05/2025,500,25,,
C-01,P-02,12/05/2025,4500,25,1,
C-01,P-02,05/31/2025,6100,24,1,
C-01,P-02,09/06/2025,4678,25,1,
C-01,P-02,06/26/2025,10000,24,3,
C-01,P-02,07/13/2025,4500,25,2,
C-02,P-04,04/01/2025,890,47,1,
C-02,P-04,09/01/2025,1900,35,1,
C-02,P-04,01/30/2025,,,1,
C-02,P-04,02/02/2025,4500,55,,
C-02,P-04,08/03/2025,1300,44,1,
C-02,P-04,03/22/2025,4870,44.4,1,
C-02,P-04,04/29/2025,6500,35,1,
C-02,P-04,05/05/2025,7800,47,1,
C-02,P-04,05/31/2025,,,1,
C-02,P-04,06/26/2025,1500,50,4,
C-02,P-04,07/13/2025,8800,46,,
C-03,P-05,05/01/2025,2900,21.6,,
C-03,P-05,03/02/2025,6000,25,,
C-03,P-05,08/03/2025,1200,23.2,1,
C-03,P-05,03/25/2025,1800,23,,
C-03,P-05,04/14/2025,500,19,,
C-03,P-05,04/29/2025,3100,19,1,
C-03,P-05,05/05/2025,800,24.5,,
C-03,P-05,12/05/2025,200,25,,
C-03,P-05,05/31/2025,500,25,,
C-03,P-05,09/06/2025,1000,25,,
C-03,P-05,06/26/2025,3600,25,2,
C-03,P-05,07/13/2025,3456,20,1,
C-04,P-01,01/01/2025,600,55.6,,
C-04,P-01,02/01/2025,1400,10,1,
C-04,P-01,01/15/2025,500,67,1,
C-04,P-01,01/25/2025,4500,67,1,
C-04,P-01,02/02/2025,1450,68.9,,
C-04,P-01,02/24/2025,4800,67,2,
C-04,P-01,08/03/2025,2500,65.5,1,
C-04,P-01,03/29/2025,8100,67,1,
C-04,P-01,04/14/2025,4500,67,1,
C-04,P-01,04/29/2025,10000,67,3,
C-04,P-01,05/31/2025,8900,67,4,
C-04,P-01,09/06/2025,4500,67,1,
C-04,P-01,06/26/2025,3400,67,,
C-04,P-01,07/13/2025,,,2,
C-05,P-01,03/01/2025,1350,48.4,1,
C-05,P-01,04/01/2025,2167,22,,
C-05,P-01,01/15/2025,3400,48,1,
C-05,P-01,01/18/2025,6000,48,1,
C-05,P-01,02/24/2025,500,22,1,
C-05,P-01,08/03/2025,7000,48,1,
C-05,P-01,03/19/2025,6300,48,2,
C-05,P-01,04/14/2025,8800,48,1,
C-05,P-01,04/29/2025,8800,48,2,
C-05,P-01,05/05/2025,2100,47,1,
C-05,P-01,12/05/2025,5300,41,,
C-05,P-01,05/31/2025,8000,40,1,
C-05,P-01,09/06/2025,500,48,1,
C-05,P-01,07/13/2025,5500,48,,
C-06,P-02,03/01/2025,6900,46,,
C-06,P-02,01/17/2025,900,29,1,
C-06,P-02,01/20/2025,4300,29,,
C-06,P-02,05/02/2025,2500,34,1,
C-06,P-02,02/24/2025,21000,34,1,
C-06,P-02,08/03/2025,12100,34,2,
C-06,P-02,03/29/2025,17600,34,1,
C-06,P-02,04/14/2025,18200,34,2,
C-06,P-02,04/29/2025,5600,34,1,
C-06,P-02,05/05/2025,22000,34,1,
C-06,P-02,12/05/2025,14000,34,1,
C-06,P-02,05/31/2025,5000,34,1,
C-06,P-02,09/06/2025,5000,34,1,
C-06,P-02,06/26/2025,42300,34,3,
C-06,P-02,07/13/2025,18900,34,1,
C-07,P-03,03/01/2025,1000,35,,
C-07,P-03,02/24/2025,,,1,
C-07,P-03,08/03/2025,,,1,
C-07,P-03,05/05/2025,4000,10,1,
C-07,P-03,07/13/2025,100,20,,
C-08,P-05,02/24/2025,,,1,
C-09,P-03,04/01/2025,4500,41,1,
C-09,P-03,01/02/2025,10000,39,1,
C-09,P-03,02/24/2025,5400,39,2,
C-09,P-03,08/03/2025,19000,33,1,
C-09,P-03,03/30/2025,8600,33,2,
C-09,P-03,04/14/2025,7700,34,1,
C-09,P-03,04/29/2025,21000,34,1,
