Note: Please add Period date in mm/dd/yyyy format only.,,,,,100,,,,,,,,,,
CustomerID,SalespersonID,Period,Sales Forecast,Sales Target,GPP Forecast,GPP Target,Calls Forecast,Calls Target,Strategy,Potential,Current Opportunity,Future Opportunity,Market Share,At Risk,Risk Explanation
C-01,P-02,01-01-2025,12500,17000,25,30.4,4,4,"This account was negatively impacted by Covid & is rebounding. We set a target = $204K for yr. and while customer might have actual demand, we may ""frontload"" them going into 2025. Current opportunity will require 5% price discount. Customer has clearly stated they will always maintain at least 2 suppliers, hence our opportunity values.",500000,50000,100000,35.5,,
C-01,P-02,02-01-2025,12500,17000,25,30.4,3,4,,,,,,,
C-01,P-02,03-01-2025,13000,17000,25,30.4,3,4,,,,,,,
C-01,P-02,04-01-2025,13000,17000,25,30.4,3,4,,,,,,,
C-01,P-02,05-01-2025,13000,17000,25,30.4,3,4,,,,,,,
C-01,P-02,06-01-2025,16000,17000,25,30.4,4,4,,,,,,,
C-01,P-02,07-01-2025,16000,17000,25,30.4,3,4,,,,,,,
C-01,P-02,08-01-2025,16000,17000,25,30.4,3,4,,,,,,,
C-01,P-02,09-01-2025,16000,17000,25,30.4,3,4,,,,,,,
C-01,P-02,10-01-2025,16500,17000,25,30.4,3,4,,,,,,,
C-01,P-02,11-01-2025,16500,17000,25,30.4,3,4,,,,,,,
C-01,P-02,12-01-2025,16500,17000,25,30.4,3,3,,,,,,,
C-02,P-04,01-01-2025,4000,4500,46,55,2,3,"This distributor is progressive, has numerous large national steel contracts, our market share is low, our relationship has improved dramatically and we can get more business now and going forward.",2500000,100000,1100000,3.1,,
C-02,P-04,02-01-2025,5000,6000,46,55,3,4,,,,,,,
C-02,P-04,03-01-2025,5500,7000,46,55,3,4,,,,,,,
C-02,P-04,04-01-2025,7000,9000,46,55,3,4,,,,,,,
C-02,P-04,05-01-2025,7000,10000,46,55,3,4,,,,,,,
C-02,P-04,06-01-2025,7000,10000,46,55,3,4,,,,,,,
C-02,P-04,07-01-2025,7000,10000,46,55,3,4,,,,,,,
C-02,P-04,08-01-2025,7000,10000,46,55,3,4,,,,,,,
C-02,P-04,09-01-2025,7000,10000,46,55,3,4,,,,,,,
C-02,P-04,10-01-2025,7000,10000,46,55,3,4,,,,,,,
C-02,P-04,11-01-2025,7000,10000,46,55,3,4,,,,,,,
C-02,P-04,12-01-2025,7000,10000,46,55,3,4,,,,,,,
C-03,P-05,01-01-2025,4000,5000,23.2,30,1,1,"Old established manufacturer that was struggling, hit by Covid and holding on. Solid and steady. Visit every other month to check in.",100000,,,48,,
C-03,P-05,02-01-2025,4000,5000,23.2,30,,,,,,,,,
C-03,P-05,03-01-2025,4000,5000,23.2,30,1,1,,,,,,,
C-03,P-05,04-01-2025,4000,5000,23.2,30,1,1,,,,,,,
C-03,P-05,05-01-2025,4000,5000,23.2,30,1,1,,,,,,,
C-03,P-05,06-01-2025,4000,5000,23.2,30,,,,,,,,,
C-03,P-05,07-01-2025,4000,5000,23.2,30,1,1,,,,,,,
C-03,P-05,08-01-2025,4000,5000,23.2,30,,,,,,,,,
C-03,P-05,09-01-2025,4000,5000,23.2,30,,,,,,,,,
C-03,P-05,10-01-2025,4000,5000,23.2,30,1,1,,,,,,,
C-03,P-05,11-01-2025,4000,5000,23.2,30,,,,,,,,,
C-03,P-05,12-01-2025,4000,5000,23.2,30,1,1,,,,,,,
C-04,P-01,02-01-2025,10500,15000,67,70,4,4,,,,,,,
C-04,P-01,03-01-2025,10000,15000,67,70,4,4,,,,,,,
C-04,P-01,04-01-2025,10000,15000,67,70,4,4,,,,,,,
C-04,P-01,05-01-2025,10000,15000,67,70,4,4,,,,,,,
C-04,P-01,06-01-2025,10000,15000,67,70,4,4,,,,,,,
C-04,P-01,07-01-2025,,,0,0,4,4,,,,,,,
C-04,P-01,08-01-2025,15000,20000,67,70,4,4,,,,,,,
C-04,P-01,09-01-2025,25000,40000,67,70,4,4,,,,,,,
C-04,P-01,10-01-2025,75000,125000,79,79,4,4,,,,,,,
C-04,P-01,11-01-2025,97000,147000,76.3,76.3,4,4,,,,,,,
C-04,P-01,12-01-2025,75000,125000,79,79,4,4,,,,,,,
C-04,P-01,01-01-2025,6000,10000,67,70,2,2,"Existing customer and we are working with their Engineering Dept on an improvement  to an existing product they purchase from us (they will continue to buy current product design too). 4th qtr. reflects this new product, but is also listed at risk. High call schedule to stay on top of product dev. On current opp, could gain with consignment agreement.",1600000,100000,700000,21.5,151000,Customer product introduction timeline and requires testing and approval. We forecasted 4th qtr. only ($150K @ 85%). Used Forecast Template file under GENREV/Forms. 
C-05,P-01,02-01-2025,14167,18000,48.4,55,1,1,,,,,,,
C-05,P-01,03-01-2025,14167,18000,48.4,55,,,,,,,,,
C-05,P-01,04-01-2025,14167,18000,48.4,55,1,1,,,,,,,
C-05,P-01,05-01-2025,14167,18000,48.4,55,,,,,,,,,
C-05,P-01,06-01-2025,14167,18000,48.4,55,1,1,,,,,,,
C-05,P-01,07-01-2025,14167,18000,48.4,55,,,,,,,,,
C-05,P-01,08-01-2025,14167,18000,48.4,55,1,1,,,,,,,
C-05,P-01,09-01-2025,14167,18000,48.4,55,,,,,,,,,
C-05,P-01,10-01-2025,14167,18000,48.4,55,,,,,,,,,
C-05,P-01,11-01-2025,14167,18000,48.4,55,,,,,,,,,
C-05,P-01,12-01-2025,14167,18000,48.4,55,,,,,,,,,
C-05,P-01,01-01-2025,14167,18000,48.4,55,1,1,"This healthcare/pharma  integrator is interested in our new product to incorporate into their offering. Research and testing have been successful and this  is additional beyond our incumbent business. As can be seen, Covid had a positive impact on their 2020 and 2021 sales. We are flatlining $10K/mo. for incumbent business and adding an additional $50K for the yr. ($4167/mo.) also flatlined.",500000,50000,350000,34,,
C-06,P-02,01-01-2025,10000,30000,34,46,2,2,"We don't have current production to secure the current $300K opportunity but will and with that, we envision an additional $2M in future opp",5600000,300000,2000000,6.4,,
C-06,P-02,02-01-2025,10000,30000,34,46,2,2,,,,,,,
C-06,P-02,03-01-2025,26400,30000,34,46,2,2,,,,,,,
C-06,P-02,04-01-2025,26400,30000,34,46,2,2,,,,,,,
C-06,P-02,05-01-2025,35000,40000,34,46,2,2,,,,,,,
C-06,P-02,06-01-2025,50000,60000,34,46,2,2,,,,,,,
C-06,P-02,07-01-2025,50000,60000,34,46,2,2,,,,,,,
C-06,P-02,08-01-2025,50000,60000,34,46,2,2,,,,,,,
C-06,P-02,09-01-2025,50000,60000,34,46,2,2,,,,,,,
C-06,P-02,10-01-2025,25000,25000,34,46,2,2,,,,,,,
C-06,P-02,11-01-2025,25000,25000,34,46,2,2,,,,,,,
C-06,P-02,12-01-2025,,,0,0,,,,,,,,,
C-07,P-03,01-01-2025,,,0,0,1,1,This is one of the new international accounts. We are taking a conservative approach to sales and contact with them for the initial year. The strategy is to develop the necessary relationships and secure 50% of their business over the next 2-3 years. ,200000,,100000,3,,
C-07,P-03,02-01-2025,,,0,0,1,1,,,,,,,
C-07,P-03,03-01-2025,,,0,0,2,2,,,,,,,
